David,Skacel,19.1.2011,Czechia
Ludvig,Falk,2.7.2010,Sweden
Luke,Kucerovy,20.11.2012,United States
Brian,Lasch,27.12.2011,United States
Tim,Schweizer,17.4.2011,Germany
Rasmus,Kristensen,1.5.2011,Denmark
Jouko,Lehtola,31.10.2010,Finland
Dario,Altorfer,19.6.2014,Switzerland
Lubos,Gasparovic,29.11.2009,Slovakia
John,Chyzowski,10.2.2012,Canada
Joakim,Granli,25.1.2011,Norway
William,Couture,10.3.2009,Canada
Alexei,Stulov,22.2.2011,Russia
Edgars,Mickevics,1.8.2013,Latvia
Logan,MacKay,20.10.2013,Canada
Keith,Nickels,1.11.2011,United States
Jay,Aquino,9.5.2013,Canada
Chris,Greenfield,30.3.2009,United States
Matteo,Vauclair,28.10.2013,Switzerland
Max,Ross,20.2.2013,Canada
Ondrej,Abraham,21.7.2011,Czechia
Joe,Levine,19.9.2012,United States
Timur,Bykov,29.3.2013,Russia
Michal,Janecek,1.7.2009,Czechia
John,Schroeder,28.2.2014,United States
Aaron,Mansfield,18.5.2014,United States
Kevin,Huot,10.3.2012,Canada
Logan,Brassard,28.2.2011,Canada
Nicolas,Van Boxmeer,12.7.2011,Canada
Sergei,Kartayev,15.7.2014,Russia
Tyson,Sabourin,1.3.2014,Canada
Matt,Esteves,8.3.2011,Canada
Michael,Crossley,27.3.2011,Canada
Andrey,Bragin,27.9.2009,Russia
Pete,LeBlanc,6.8.2010,United States
Stefan,Wendt,15.5.2011,Sweden
Brad,Singer,2.8.2012,Canada
Nick,Troop,8.5.2011,Canada
Johannes,Suoraniemi,2.10.2012,Finland
James,Lemieux,11.3.2013,Canada
Brendan,Witzke,31.12.2009,United States
Conner,Petrella,6.7.2011,United States
Sean,Adamek,22.7.2014,United States
Henri,Arvonen,9.12.2008,Finland
Olli,Westerlund,12.1.2013,Finland
Jeremy,Golden,28.1.2012,Canada
Johan,Millner,3.2.2010,Sweden
Orrin,Noble,1.7.2010,Canada
Vladimir,Sukel,15.6.2012,Slovakia
Matt,Folkes,6.6.2014,Canada
Luca,Farina,22.5.2009,Canada
Brendan,Parks,2.8.2010,United States
Nik,Giles,4.12.2010,United States
Nico,Knapp,30.9.2012,United States
Mikko,Saikkonen,2.7.2012,Finland
Wilhelm,Henriksson,13.7.2014,Sweden
DaMarcus,Guertler,6.5.2009,United States
Daniel,Savard,15.9.2012,Canada
Tyler,Boucher,14.2.2009,Canada
Milan,Slijepcevic,9.4.2012,Canada
Ron,Zahn,24.12.2009,Canada
Tommy,Army,20.8.2011,United States
Manny,Ryckman,25.6.2010,Canada
Michael,Samuels-Thomas,3.8.2010,United States
Gustav,Bergh,30.1.2012,Sweden
Harri,Komulainen,26.1.2013,Finland
Riley,Philp,15.4.2010,Canada
Niall,Collins,15.8.2012,Canada
Derek,Brookshaw,9.4.2013,Canada
Scott,Roussel,25.4.2013,Canada
Gilbert,Leblond,3.8.2014,Canada
Adam,Kjemhus,25.9.2012,Canada
Mathis,Lecouffe,6.10.2008,Canada
Rory,Birnstill,28.8.2014,United States
Guillaume,Leclerc,15.2.2012,Canada
Kelin,DeFazio,25.7.2011,Canada
Yaroslav,Adjoev,7.8.2009,Russia
Kevin,Barg,15.4.2013,Germany
Zachary,Boucher,19.1.2014,Canada
Clark,Riopel,12.11.2008,Canada
Adam,Stephens,15.9.2013,Canada
Ross,Foley,17.11.2013,United States
Emil,Lantz,13.12.2013,Sweden
Michael,Ness,28.2.2014,United States
Olle,Engsund,18.8.2013,Sweden
Vitaly,Zhdakhin,4.1.2011,Russia
Arturo,Valenzuela,2.5.2009,Mexico
Chuck,Brownlee,17.3.2011,Canada
Garrett,Ulrich,13.3.2010,United States
Keith,Lafrance,9.8.2014,Canada
Brendan,Tennyson,19.7.2009,United States
Shawn,Elser,24.8.2009,United States
Jimmy,Hesler,1.3.2012,United States
Romain,Le Goff,12.3.2013,France
Yong-Jun,Yoo,4.5.2014,South Korea
Brendan,Zirbel,25.8.2011,United States
Ryô,Fukushima,10.12.2013,Japan
Markus,Brucker,17.4.2013,Austria
Sergei,Chernikov,12.9.2009,Russia
Patrick,Hoffmann,1.4.2011,Germany
Jens,Wahlberg,25.2.2009,Sweden
Adrian,Mattei,6.9.2012,Australia
Joakim,Forsgren,4.12.2011,Sweden
Oscar,Efraimsson,25.2.2013,Sweden
Ole Marius,Berger,26.11.2009,Norway
Imre,Szalai,16.8.2014,Hungary
Calvin,Acciari,26.8.2009,United States
Connor,Brouillette,23.11.2013,Canada
Kevin,Pope,18.4.2014,Canada
Teddy,Lessard,21.3.2010,Canada
Pavel,Haas,12.12.2009,Czechia
Tryggvi Sveinn,Hafsteinsson,15.2.2014,Iceland
Nico,Le Coultre,9.2.2011,Switzerland
Andrej,Malec,18.10.2010,Slovakia
Martin,Hrdlicka,15.1.2011,Czechia
Paul,Schmidt,11.8.2014,Poland
Sergiy,Vernydub,28.6.2010,Ukraine
Felix,Ericson,17.9.2009,Sweden
Garrett,McLellan,30.9.2013,United States
Isaac,Bolduc,17.7.2009,Canada
David,Smith,18.5.2012,Canada
Zack,Lund-Cornish,13.9.2013,Canada
Mark,Nikulin,5.4.2012,Russia
Luca,Bertolone,16.8.2010,Italy
Ante,Slavica,19.3.2010,Croatia
Samuel,Lavoie,11.1.2014,Canada
Sergio,De la Fuente,14.9.2014,Spain
Keegan,Chenier,15.3.2013,Canada
Roman,Kuzmin,18.2.2012,Russia
Wei,Zhou,1.8.2010,China
Brandon,Warmuth,3.6.2012,United States
Archie,Newbury,3.8.2013,Canada
Tomi,Sopanen,3.9.2014,Finland
Mitchell,Imray,23.1.2010,New Zealand
Pelle,Leurink,20.8.2009,Netherlands
Joran,Lenaerts,20.5.2013,Belgium
Simon,Trajkovski,10.12.2011,Slovenia
Jonas,Sørensen,7.8.2010,Denmark
Mihkel,Stepanov,8.9.2010,Estonia
Edgars,Freimanis,19.9.2008,Latvia
Daniiar,Pushkaryov,11.6.2014,Kazakhstan
Jere,Nurmi,30.3.2014,Finland
Stefanos,Tennyson,15.12.2009,United States
Adrian,Mihalache,16.7.2009,Romania
Jonathan,Leca,28.12.2008,Canada
Brendan,McNeill,20.6.2012,Canada
Xavier,Mahon,3.10.2011,Canada
Jonny,Tardiff,17.5.2012,Canada
Gabriel,Therrien,19.5.2011,Canada
Ryan,Deslauriers,27.5.2012,Canada
Roman,Gorbach,4.8.2014,Belarus
Graham,Black,21.5.2014,Great Britain
Deividas,Son,14.3.2012,Lithuania
Vukasin,Marinkovic,1.3.2013,Serbia
Timo,Selin,6.6.2014,Finland
Gabriel,Beaulieu,11.6.2009,Canada
Aaron,Tremblay,27.10.2012,Canada
Doug,Burnell,2.12.2008,Canada
Igor,Khabarov,6.4.2010,Russia
Filip,Olsson,25.9.2011,Sweden
Blade,Trotman,24.11.2011,United States
Logan,Bishop,24.3.2012,Canada
Aleksi,Heinonen,20.10.2008,Finland
Jeremy,Schmalz,16.8.2011,Canada
Erik,Nordqvist,27.10.2011,Sweden
Patrick,Lanza,15.5.2013,Switzerland
Zach,Kent,10.5.2009,United States
Dallas,Shamray,22.3.2014,Canada
Evan,Michaelian,17.8.2009,United States
Anthony,Van Horn,31.7.2010,United States
Mathieu,Lafleur,18.1.2009,Canada
Jansen,Currie,21.5.2012,Canada
Kai,Kabuya,9.5.2014,Germany
William,Blidstrand,5.1.2012,Sweden
Jose,Bodie,27.9.2012,Canada
Santeri,Niemenmaa,9.6.2010,Finland
Andrei,Volodin,28.12.2013,Russia
Lucas,Silk,18.7.2010,Canada
Edvin,Fredriksson,22.4.2014,Sweden
Danis,Alyapkin,24.8.2014,Russia
Mark,Olivieri,26.3.2011,United States
Jonathan,Nichol,26.2.2013,Canada
