Image File Name,Player Name,Nationality,Caption
Will_Subject_10_5_2005.png,Will Subject,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Eemeli_Saari_14_1_2003.png,Eemeli Saari,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Tyler_Boucher_16_1_2003.png,Tyler Boucher,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Joona_Korhonen_14_2_2003.png,Joona Korhonen,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
Ilya_Ivantsov_27_1_2003.png,Ilya Ivantsov,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Axel_Sandin Pellikka_11_3_2005.png,Axel Sandin Pellikka,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Jack_Pechar_20_3_2005.png,Jack Pechar,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Conner_de Haro_17_10_2005.png,Conner de Haro,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Viliam_Kmec_2_1_2004.png,Viliam Kmec,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Ilya_Fedotov_19_3_2003.png,Ilya Fedotov,Russian/Belorussian/Kazakh,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Russian/Belorussian/Kazakh."
Leo_Carlsson_26_12_2004.png,Leo Carlsson,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
David_Jiricek_28_11_2003.png,David Jiricek,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Oren_Shtrom_28_9_2004.png,Oren Shtrom,"Central European (Swiss, German, French, Austrian, Polish, Italian etc.)","A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Central European (Swiss, German, French, Austrian, Polish, Italian etc.)."
Mason_McTavish_30_1_2003.png,Mason McTavish,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Mattias_Havelid_1_1_2004.png,Mattias Havelid,Swedish/Danish/Norwegian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Swedish/Danish/Norwegian."
Josh_Player_13_5_2005.png,Josh Player,North American,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is North American."
Juho_Jarvela_14_7_2003.png,Juho Jarvela,Finnish/Estonian,"A studio headshot of a young hockey player without their helmet. The player is wearing should pads under their jersey, is sitting upright and square to the camera. The background is a solid blue color. The player is Finnish/Estonian."
